Year,Total_A,Total_B,Total_A_H1,Total_A_H3,Weighted_ILI,Percent_Positive,State
2000,0.0,419,456.0,17.0,1.7578723076923075,3.9782586230769232,Alabama
2001,0.0,4508,1650.0,361.0,1.2487777115384615,4.386911594230769,Alabama
2002,0.0,2753,126.0,4169.0,1.296634423076923,6.884425865384615,Alabama
2003,0.0,3822,2239.0,7345.0,1.9050694528301888,10.978168037735848,Alabama
2004,0.0,557,3.0,1732.0,1.0618010576923078,2.1821551346153845,Alabama
2005,0.0,5880,25.0,6209.0,1.8301337500000001,6.731914657692308,Alabama
2006,0.0,5040,1309.0,4155.0,1.5527661923076923,7.657244288461538,Alabama
2007,0.0,4880,3698.0,2532.0,1.5116754423076924,7.255686634615385,Alabama
2008,0.0,12284,2485.0,6925.0,1.6613001886792453,7.3487879018867925,Alabama
2009,0.0,11205,7931.0,4820.0,2.8544359615384614,22.829028846153847,Alabama
2010,0.0,3587,3.0,3670.0,1.4181392307692309,4.43762,Alabama
2011,0.0,11440,0.0,15299.0,1.684833173076923,8.111643942307692,Alabama
2012,0.0,10609,0.0,26626.0,1.6803308269230768,13.094145769230769,Alabama
2013,0.0,18391,0.0,20439.0,1.8015218653846152,11.124081153846154,Alabama
2014,0.0,11228,0.0,30913.0,1.9159501132075472,11.97702358490566,Alabama
2015,1830.0,20028,0.0,26708.0,1.7189015769230769,6.124411923076924,Alabama
2016,56710.0,24566,0.0,0.0,1.688771480769231,6.380545403846154,Alabama
2017,117405.0,45625,0.0,0.0,2.114489826923077,9.078227115384616,Alabama
2018,147794.0,72590,0.0,0.0,2.3576730961538463,8.471558846153846,Alabama
2019,166191.0,48951,0.0,0.0,2.397888403846154,9.634965,Alabama
2020,117763.0,78854,0.0,0.0,2.4279453773584905,5.750905867924528,Alabama
2021,29469.0,1517,0.0,0.0,1.6943894807692308,0.609581998076923,Alabama
2022,424433.0,3827,0.0,0.0,2.8839148076923076,6.7702420192307695,Alabama
2023,124683.0,30887,0.0,0.0,2.4597671153846155,2.7413008076923076,Alabama
2024,217319.0,88821,0.0,0.0,2.7416696153846156,5.540835423076923,Alabama
2025,350577.0,29567,0.0,0.0,5.773715,21.882458333333332,Alabama
2000,0.0,419,456.0,17.0,1.7578723076923075,3.9782586230769232,Alaska
2001,0.0,4508,1650.0,361.0,1.2487777115384615,4.386911594230769,Alaska
2002,0.0,2753,126.0,4169.0,1.296634423076923,6.884425865384615,Alaska
2003,0.0,3822,2239.0,7345.0,1.9050694528301888,10.978168037735848,Alaska
2004,0.0,557,3.0,1732.0,1.0618010576923078,2.1821551346153845,Alaska
2005,0.0,5880,25.0,6209.0,1.8301337500000001,6.731914657692308,Alaska
2006,0.0,5040,1309.0,4155.0,1.5527661923076923,7.657244288461538,Alaska
2007,0.0,4880,3698.0,2532.0,1.5116754423076924,7.255686634615385,Alaska
2008,0.0,12284,2485.0,6925.0,1.6613001886792453,7.3487879018867925,Alaska
2009,0.0,11205,7931.0,4820.0,2.8544359615384614,22.829028846153847,Alaska
2010,0.0,3587,3.0,3670.0,1.4181392307692309,4.43762,Alaska
2011,0.0,11440,0.0,15299.0,1.684833173076923,8.111643942307692,Alaska
2012,0.0,10609,0.0,26626.0,1.6803308269230768,13.094145769230769,Alaska
2013,0.0,18391,0.0,20439.0,1.8015218653846152,11.124081153846154,Alaska
2014,0.0,11228,0.0,30913.0,1.9159501132075472,11.97702358490566,Alaska
2015,1830.0,20028,0.0,26708.0,1.7189015769230769,6.124411923076924,Alaska
2016,56710.0,24566,0.0,0.0,1.688771480769231,6.380545403846154,Alaska
2017,117405.0,45625,0.0,0.0,2.114489826923077,9.078227115384616,Alaska
2018,147794.0,72590,0.0,0.0,2.3576730961538463,8.471558846153846,Alaska
2019,166191.0,48951,0.0,0.0,2.397888403846154,9.634965,Alaska
2020,117763.0,78854,0.0,0.0,2.4279453773584905,5.750905867924528,Alaska
2021,29469.0,1517,0.0,0.0,1.6943894807692308,0.609581998076923,Alaska
2022,424433.0,3827,0.0,0.0,2.8839148076923076,6.7702420192307695,Alaska
2023,124683.0,30887,0.0,0.0,2.4597671153846155,2.7413008076923076,Alaska
2024,217319.0,88821,0.0,0.0,2.7416696153846156,5.540835423076923,Alaska
2025,350577.0,29567,0.0,0.0,5.773715,21.882458333333332,Alaska
2000,0.0,419,456.0,17.0,1.7578723076923075,3.9782586230769232,American Samoa
2001,0.0,4508,1650.0,361.0,1.2487777115384615,4.386911594230769,American Samoa
2002,0.0,2753,126.0,4169.0,1.296634423076923,6.884425865384615,American Samoa
2003,0.0,3822,2239.0,7345.0,1.9050694528301888,10.978168037735848,American Samoa
2004,0.0,557,3.0,1732.0,1.0618010576923078,2.1821551346153845,American Samoa
2005,0.0,5880,25.0,6209.0,1.8301337500000001,6.731914657692308,American Samoa
2006,0.0,5040,1309.0,4155.0,1.5527661923076923,7.657244288461538,American Samoa
2007,0.0,4880,3698.0,2532.0,1.5116754423076924,7.255686634615385,American Samoa
2008,0.0,12284,2485.0,6925.0,1.6613001886792453,7.3487879018867925,American Samoa
2009,0.0,11205,7931.0,4820.0,2.8544359615384614,22.829028846153847,American Samoa
2010,0.0,3587,3.0,3670.0,1.4181392307692309,4.43762,American Samoa
2011,0.0,11440,0.0,15299.0,1.684833173076923,8.111643942307692,American Samoa
2012,0.0,10609,0.0,26626.0,1.6803308269230768,13.094145769230769,American Samoa
2013,0.0,18391,0.0,20439.0,1.8015218653846152,11.124081153846154,American Samoa
2014,0.0,11228,0.0,30913.0,1.9159501132075472,11.97702358490566,American Samoa
2015,1830.0,20028,0.0,26708.0,1.7189015769230769,6.124411923076924,American Samoa
2016,56710.0,24566,0.0,0.0,1.688771480769231,6.380545403846154,American Samoa
2017,117405.0,45625,0.0,0.0,2.114489826923077,9.078227115384616,American Samoa
2018,147794.0,72590,0.0,0.0,2.3576730961538463,8.471558846153846,American Samoa
2019,166191.0,48951,0.0,0.0,2.397888403846154,9.634965,American Samoa
2020,117763.0,78854,0.0,0.0,2.4279453773584905,5.750905867924528,American Samoa
2021,29469.0,1517,0.0,0.0,1.6943894807692308,0.609581998076923,American Samoa
2022,424433.0,3827,0.0,0.0,2.8839148076923076,6.7702420192307695,American Samoa
2023,124683.0,30887,0.0,0.0,2.4597671153846155,2.7413008076923076,American Samoa
2024,217319.0,88821,0.0,0.0,2.7416696153846156,5.540835423076923,American Samoa
2025,350577.0,29567,0.0,0.0,5.773715,21.882458333333332,American Samoa
2000,0.0,419,456.0,17.0,1.7578723076923075,3.9782586230769232,Arizona
2001,0.0,4508,1650.0,361.0,1.2487777115384615,4.386911594230769,Arizona
2002,0.0,2753,126.0,4169.0,1.296634423076923,6.884425865384615,Arizona
2003,0.0,3822,2239.0,7345.0,1.9050694528301888,10.978168037735848,Arizona
2004,0.0,557,3.0,1732.0,1.0618010576923078,2.1821551346153845,Arizona
2005,0.0,5880,25.0,6209.0,1.8301337500000001,6.731914657692308,Arizona
2006,0.0,5040,1309.0,4155.0,1.5527661923076923,7.657244288461538,Arizona
2007,0.0,4880,3698.0,2532.0,1.5116754423076924,7.255686634615385,Arizona
2008,0.0,12284,2485.0,6925.0,1.6613001886792453,7.3487879018867925,Arizona
2009,0.0,11205,7931.0,4820.0,2.8544359615384614,22.829028846153847,Arizona
2010,0.0,3587,3.0,3670.0,1.4181392307692309,4.43762,Arizona
2011,0.0,11440,0.0,15299.0,1.684833173076923,8.111643942307692,Arizona
2012,0.0,10609,0.0,26626.0,1.6803308269230768,13.094145769230769,Arizona
2013,0.0,18391,0.0,20439.0,1.8015218653846152,11.124081153846154,Arizona
2014,0.0,11228,0.0,30913.0,1.9159501132075472,11.97702358490566,Arizona
2015,1830.0,20028,0.0,26708.0,1.7189015769230769,6.124411923076924,Arizona
2016,56710.0,24566,0.0,0.0,1.688771480769231,6.380545403846154,Arizona
2017,117405.0,45625,0.0,0.0,2.114489826923077,9.078227115384616,Arizona
2018,147794.0,72590,0.0,0.0,2.3576730961538463,8.471558846153846,Arizona
2019,166191.0,48951,0.0,0.0,2.397888403846154,9.634965,Arizona
2020,117763.0,78854,0.0,0.0,2.4279453773584905,5.750905867924528,Arizona
2021,29469.0,1517,0.0,0.0,1.6943894807692308,0.609581998076923,Arizona
2022,424433.0,3827,0.0,0.0,2.8839148076923076,6.7702420192307695,Arizona
2023,124683.0,30887,0.0,0.0,2.4597671153846155,2.7413008076923076,Arizona
2024,217319.0,88821,0.0,0.0,2.7416696153846156,5.540835423076923,Arizona
2025,350577.0,29567,0.0,0.0,5.773715,21.882458333333332,Arizona
2000,0.0,419,456.0,17.0,1.7578723076923075,3.9782586230769232,Arkansas
2001,0.0,4508,1650.0,361.0,1.2487777115384615,4.386911594230769,Arkansas
2002,0.0,2753,126.0,4169.0,1.296634423076923,6.884425865384615,Arkansas
2003,0.0,3822,2239.0,7345.0,1.9050694528301888,10.978168037735848,Arkansas
2004,0.0,557,3.0,1732.0,1.0618010576923078,2.1821551346153845,Arkansas
2005,0.0,5880,25.0,6209.0,1.8301337500000001,6.731914657692308,Arkansas
2006,0.0,5040,1309.0,4155.0,1.5527661923076923,7.657244288461538,Arkansas
2007,0.0,4880,3698.0,2532.0,1.5116754423076924,7.255686634615385,Arkansas
2008,0.0,12284,2485.0,6925.0,1.6613001886792453,7.3487879018867925,Arkansas
2009,0.0,11205,7931.0,4820.0,2.8544359615384614,22.829028846153847,Arkansas
2010,0.0,3587,3.0,3670.0,1.4181392307692309,4.43762,Arkansas
2011,0.0,11440,0.0,15299.0,1.684833173076923,8.111643942307692,Arkansas
2012,0.0,10609,0.0,26626.0,1.6803308269230768,13.094145769230769,Arkansas
2013,0.0,18391,0.0,20439.0,1.8015218653846152,11.124081153846154,Arkansas
2014,0.0,11228,0.0,30913.0,1.9159501132075472,11.97702358490566,Arkansas
2015,1830.0,20028,0.0,26708.0,1.7189015769230769,6.124411923076924,Arkansas
2016,56710.0,24566,0.0,0.0,1.688771480769231,6.380545403846154,Arkansas
2017,117405.0,45625,0.0,0.0,2.114489826923077,9.078227115384616,Arkansas
2018,147794.0,72590,0.0,0.0,2.3576730961538463,8.471558846153846,Arkansas
2019,166191.0,48951,0.0,0.0,2.397888403846154,9.634965,Arkansas
2020,117763.0,78854,0.0,0.0,2.4279453773584905,5.750905867924528,Arkansas
2021,29469.0,1517,0.0,0.0,1.6943894807692308,0.609581998076923,Arkansas
2022,424433.0,3827,0.0,0.0,2.8839148076923076,6.7702420192307695,Arkansas
2023,124683.0,30887,0.0,0.0,2.4597671153846155,2.7413008076923076,Arkansas
2024,217319.0,88821,0.0,0.0,2.7416696153846156,5.540835423076923,Arkansas
2025,350577.0,29567,0.0,0.0,5.773715,21.882458333333332,Arkansas
2000,0.0,419,456.0,17.0,1.7578723076923075,3.9782586230769232,California
2001,0.0,4508,1650.0,361.0,1.2487777115384615,4.386911594230769,California
2002,0.0,2753,126.0,4169.0,1.296634423076923,6.884425865384615,California
2003,0.0,3822,2239.0,7345.0,1.9050694528301888,10.978168037735848,California
2004,0.0,557,3.0,1732.0,1.0618010576923078,2.1821551346153845,California
2005,0.0,5880,25.0,6209.0,1.8301337500000001,6.731914657692308,California
2006,0.0,5040,1309.0,4155.0,1.5527661923076923,7.657244288461538,California
2007,0.0,4880,3698.0,2532.0,1.5116754423076924,7.255686634615385,California
2008,0.0,12284,2485.0,6925.0,1.6613001886792453,7.3487879018867925,California
2009,0.0,11205,7931.0,4820.0,2.8544359615384614,22.829028846153847,California
2010,0.0,3587,3.0,3670.0,1.4181392307692309,4.43762,California
2011,0.0,11440,0.0,15299.0,1.684833173076923,8.111643942307692,California
2012,0.0,10609,0.0,26626.0,1.6803308269230768,13.094145769230769,California
2013,0.0,18391,0.0,20439.0,1.8015218653846152,11.124081153846154,California
2014,0.0,11228,0.0,30913.0,1.9159501132075472,11.97702358490566,California
2015,1830.0,20028,0.0,26708.0,1.7189015769230769,6.124411923076924,California
2016,56710.0,24566,0.0,0.0,1.688771480769231,6.380545403846154,California
2017,117405.0,45625,0.0,0.0,2.114489826923077,9.078227115384616,California
2018,147794.0,72590,0.0,0.0,2.3576730961538463,8.471558846153846,California
2019,166191.0,48951,0.0,0.0,2.397888403846154,9.634965,California
2020,117763.0,78854,0.0,0.0,2.4279453773584905,5.750905867924528,California
2021,29469.0,1517,0.0,0.0,1.6943894807692308,0.609581998076923,California
2022,424433.0,3827,0.0,0.0,2.8839148076923076,6.7702420192307695,California
2023,124683.0,30887,0.0,0.0,2.4597671153846155,2.7413008076923076,California
2024,217319.0,88821,0.0,0.0,2.7416696153846156,5.540835423076923,California
2025,350577.0,29567,0.0,0.0,5.773715,21.882458333333332,California
2000,0.0,419,456.0,17.0,1.7578723076923075,3.9782586230769232,Colorado
2001,0.0,4508,1650.0,361.0,1.2487777115384615,4.386911594230769,Colorado
2002,0.0,2753,126.0,4169.0,1.296634423076923,6.884425865384615,Colorado
2003,0.0,3822,2239.0,7345.0,1.9050694528301888,10.978168037735848,Colorado
2004,0.0,557,3.0,1732.0,1.0618010576923078,2.1821551346153845,Colorado
2005,0.0,5880,25.0,6209.0,1.8301337500000001,6.731914657692308,Colorado
2006,0.0,5040,1309.0,4155.0,1.5527661923076923,7.657244288461538,Colorado
2007,0.0,4880,3698.0,2532.0,1.5116754423076924,7.255686634615385,Colorado
2008,0.0,12284,2485.0,6925.0,1.6613001886792453,7.3487879018867925,Colorado
2009,0.0,11205,7931.0,4820.0,2.8544359615384614,22.829028846153847,Colorado
2010,0.0,3587,3.0,3670.0,1.4181392307692309,4.43762,Colorado
2011,0.0,11440,0.0,15299.0,1.684833173076923,8.111643942307692,Colorado
2012,0.0,10609,0.0,26626.0,1.6803308269230768,13.094145769230769,Colorado
2013,0.0,18391,0.0,20439.0,1.8015218653846152,11.124081153846154,Colorado
2014,0.0,11228,0.0,30913.0,1.9159501132075472,11.97702358490566,Colorado
2015,1830.0,20028,0.0,26708.0,1.7189015769230769,6.124411923076924,Colorado
2016,56710.0,24566,0.0,0.0,1.688771480769231,6.380545403846154,Colorado
2017,117405.0,45625,0.0,0.0,2.114489826923077,9.078227115384616,Colorado
2018,147794.0,72590,0.0,0.0,2.3576730961538463,8.471558846153846,Colorado
2019,166191.0,48951,0.0,0.0,2.397888403846154,9.634965,Colorado
2020,117763.0,78854,0.0,0.0,2.4279453773584905,5.750905867924528,Colorado
2021,29469.0,1517,0.0,0.0,1.6943894807692308,0.609581998076923,Colorado
2022,424433.0,3827,0.0,0.0,2.8839148076923076,6.7702420192307695,Colorado
2023,124683.0,30887,0.0,0.0,2.4597671153846155,2.7413008076923076,Colorado
2024,217319.0,88821,0.0,0.0,2.7416696153846156,5.540835423076923,Colorado
2025,350577.0,29567,0.0,0.0,5.773715,21.882458333333332,Colorado
2000,0.0,419,456.0,17.0,1.7578723076923075,3.9782586230769232,Connecticut
2001,0.0,4508,1650.0,361.0,1.2487777115384615,4.386911594230769,Connecticut
2002,0.0,2753,126.0,4169.0,1.296634423076923,6.884425865384615,Connecticut
2003,0.0,3822,2239.0,7345.0,1.9050694528301888,10.978168037735848,Connecticut
2004,0.0,557,3.0,1732.0,1.0618010576923078,2.1821551346153845,Connecticut
2005,0.0,5880,25.0,6209.0,1.8301337500000001,6.731914657692308,Connecticut
2006,0.0,5040,1309.0,4155.0,1.5527661923076923,7.657244288461538,Connecticut
2007,0.0,4880,3698.0,2532.0,1.5116754423076924,7.255686634615385,Connecticut
2008,0.0,12284,2485.0,6925.0,1.6613001886792453,7.3487879018867925,Connecticut
2009,0.0,11205,7931.0,4820.0,2.8544359615384614,22.829028846153847,Connecticut
2010,0.0,3587,3.0,3670.0,1.4181392307692309,4.43762,Connecticut
2011,0.0,11440,0.0,15299.0,1.684833173076923,8.111643942307692,Connecticut
2012,0.0,10609,0.0,26626.0,1.6803308269230768,13.094145769230769,Connecticut
2013,0.0,18391,0.0,20439.0,1.8015218653846152,11.124081153846154,Connecticut
2014,0.0,11228,0.0,30913.0,1.9159501132075472,11.97702358490566,Connecticut
2015,1830.0,20028,0.0,26708.0,1.7189015769230769,6.124411923076924,Connecticut
2016,56710.0,24566,0.0,0.0,1.688771480769231,6.380545403846154,Connecticut
2017,117405.0,45625,0.0,0.0,2.114489826923077,9.078227115384616,Connecticut
2018,147794.0,72590,0.0,0.0,2.3576730961538463,8.471558846153846,Connecticut
2019,166191.0,48951,0.0,0.0,2.397888403846154,9.634965,Connecticut
2020,117763.0,78854,0.0,0.0,2.4279453773584905,5.750905867924528,Connecticut
2021,29469.0,1517,0.0,0.0,1.6943894807692308,0.609581998076923,Connecticut
2022,424433.0,3827,0.0,0.0,2.8839148076923076,6.7702420192307695,Connecticut
2023,124683.0,30887,0.0,0.0,2.4597671153846155,2.7413008076923076,Connecticut
2024,217319.0,88821,0.0,0.0,2.7416696153846156,5.540835423076923,Connecticut
2025,350577.0,29567,0.0,0.0,5.773715,21.882458333333332,Connecticut
2000,0.0,419,456.0,17.0,1.7578723076923075,3.9782586230769232,Delaware
2001,0.0,4508,1650.0,361.0,1.2487777115384615,4.386911594230769,Delaware
2002,0.0,2753,126.0,4169.0,1.296634423076923,6.884425865384615,Delaware
2003,0.0,3822,2239.0,7345.0,1.9050694528301888,10.978168037735848,Delaware
2004,0.0,557,3.0,1732.0,1.0618010576923078,2.1821551346153845,Delaware
2005,0.0,5880,25.0,6209.0,1.8301337500000001,6.731914657692308,Delaware
2006,0.0,5040,1309.0,4155.0,1.5527661923076923,7.657244288461538,Delaware
2007,0.0,4880,3698.0,2532.0,1.5116754423076924,7.255686634615385,Delaware
2008,0.0,12284,2485.0,6925.0,1.6613001886792453,7.3487879018867925,Delaware
2009,0.0,11205,7931.0,4820.0,2.8544359615384614,22.829028846153847,Delaware
2010,0.0,3587,3.0,3670.0,1.4181392307692309,4.43762,Delaware
2011,0.0,11440,0.0,15299.0,1.684833173076923,8.111643942307692,Delaware
2012,0.0,10609,0.0,26626.0,1.6803308269230768,13.094145769230769,Delaware
2013,0.0,18391,0.0,20439.0,1.8015218653846152,11.124081153846154,Delaware
2014,0.0,11228,0.0,30913.0,1.9159501132075472,11.97702358490566,Delaware
2015,1830.0,20028,0.0,26708.0,1.7189015769230769,6.124411923076924,Delaware
2016,56710.0,24566,0.0,0.0,1.688771480769231,6.380545403846154,Delaware
2017,117405.0,45625,0.0,0.0,2.114489826923077,9.078227115384616,Delaware
2018,147794.0,72590,0.0,0.0,2.3576730961538463,8.471558846153846,Delaware
2019,166191.0,48951,0.0,0.0,2.397888403846154,9.634965,Delaware
2020,117763.0,78854,0.0,0.0,2.4279453773584905,5.750905867924528,Delaware
2021,29469.0,1517,0.0,0.0,1.6943894807692308,0.609581998076923,Delaware
2022,424433.0,3827,0.0,0.0,2.8839148076923076,6.7702420192307695,Delaware
2023,124683.0,30887,0.0,0.0,2.4597671153846155,2.7413008076923076,Delaware
2024,217319.0,88821,0.0,0.0,2.7416696153846156,5.540835423076923,Delaware
2025,350577.0,29567,0.0,0.0,5.773715,21.882458333333332,Delaware
2000,0.0,419,456.0,17.0,1.7578723076923075,3.9782586230769232,District of Columbia
2001,0.0,4508,1650.0,361.0,1.2487777115384615,4.386911594230769,District of Columbia
2002,0.0,2753,126.0,4169.0,1.296634423076923,6.884425865384615,District of Columbia
2003,0.0,3822,2239.0,7345.0,1.9050694528301888,10.978168037735848,District of Columbia
2004,0.0,557,3.0,1732.0,1.0618010576923078,2.1821551346153845,District of Columbia
2005,0.0,5880,25.0,6209.0,1.8301337500000001,6.731914657692308,District of Columbia
2006,0.0,5040,1309.0,4155.0,1.5527661923076923,7.657244288461538,District of Columbia
2007,0.0,4880,3698.0,2532.0,1.5116754423076924,7.255686634615385,District of Columbia
2008,0.0,12284,2485.0,6925.0,1.6613001886792453,7.3487879018867925,District of Columbia
2009,0.0,11205,7931.0,4820.0,2.8544359615384614,22.829028846153847,District of Columbia
2010,0.0,3587,3.0,3670.0,1.4181392307692309,4.43762,District of Columbia
2011,0.0,11440,0.0,15299.0,1.684833173076923,8.111643942307692,District of Columbia
2012,0.0,10609,0.0,26626.0,1.6803308269230768,13.094145769230769,District of Columbia
2013,0.0,18391,0.0,20439.0,1.8015218653846152,11.124081153846154,District of Columbia
2014,0.0,11228,0.0,30913.0,1.9159501132075472,11.97702358490566,District of Columbia
2015,1830.0,20028,0.0,26708.0,1.7189015769230769,6.124411923076924,District of Columbia
2016,56710.0,24566,0.0,0.0,1.688771480769231,6.380545403846154,District of Columbia
2017,117405.0,45625,0.0,0.0,2.114489826923077,9.078227115384616,District of Columbia
2018,147794.0,72590,0.0,0.0,2.3576730961538463,8.471558846153846,District of Columbia
2019,166191.0,48951,0.0,0.0,2.397888403846154,9.634965,District of Columbia
2020,117763.0,78854,0.0,0.0,2.4279453773584905,5.750905867924528,District of Columbia
2021,29469.0,1517,0.0,0.0,1.6943894807692308,0.609581998076923,District of Columbia
2022,424433.0,3827,0.0,0.0,2.8839148076923076,6.7702420192307695,District of Columbia
2023,124683.0,30887,0.0,0.0,2.4597671153846155,2.7413008076923076,District of Columbia
2024,217319.0,88821,0.0,0.0,2.7416696153846156,5.540835423076923,District of Columbia
2025,350577.0,29567,0.0,0.0,5.773715,21.882458333333332,District of Columbia
2000,0.0,419,456.0,17.0,1.7578723076923075,3.9782586230769232,Florida
2001,0.0,4508,1650.0,361.0,1.2487777115384615,4.386911594230769,Florida
2002,0.0,2753,126.0,4169.0,1.296634423076923,6.884425865384615,Florida
2003,0.0,3822,2239.0,7345.0,1.9050694528301888,10.978168037735848,Florida
2004,0.0,557,3.0,1732.0,1.0618010576923078,2.1821551346153845,Florida
2005,0.0,5880,25.0,6209.0,1.8301337500000001,6.731914657692308,Florida
2006,0.0,5040,1309.0,4155.0,1.5527661923076923,7.657244288461538,Florida
2007,0.0,4880,3698.0,2532.0,1.5116754423076924,7.255686634615385,Florida
2008,0.0,12284,2485.0,6925.0,1.6613001886792453,7.3487879018867925,Florida
2009,0.0,11205,7931.0,4820.0,2.8544359615384614,22.829028846153847,Florida
2010,0.0,3587,3.0,3670.0,1.4181392307692309,4.43762,Florida
2011,0.0,11440,0.0,15299.0,1.684833173076923,8.111643942307692,Florida
2012,0.0,10609,0.0,26626.0,1.6803308269230768,13.094145769230769,Florida
2013,0.0,18391,0.0,20439.0,1.8015218653846152,11.124081153846154,Florida
2014,0.0,11228,0.0,30913.0,1.9159501132075472,11.97702358490566,Florida
2015,1830.0,20028,0.0,26708.0,1.7189015769230769,6.124411923076924,Florida
2016,56710.0,24566,0.0,0.0,1.688771480769231,6.380545403846154,Florida
2017,117405.0,45625,0.0,0.0,2.114489826923077,9.078227115384616,Florida
2018,147794.0,72590,0.0,0.0,2.3576730961538463,8.471558846153846,Florida
2019,166191.0,48951,0.0,0.0,2.397888403846154,9.634965,Florida
2020,117763.0,78854,0.0,0.0,2.4279453773584905,5.750905867924528,Florida
2021,29469.0,1517,0.0,0.0,1.6943894807692308,0.609581998076923,Florida
2022,424433.0,3827,0.0,0.0,2.8839148076923076,6.7702420192307695,Florida
2023,124683.0,30887,0.0,0.0,2.4597671153846155,2.7413008076923076,Florida
2024,217319.0,88821,0.0,0.0,2.7416696153846156,5.540835423076923,Florida
2025,350577.0,29567,0.0,0.0,5.773715,21.882458333333332,Florida
2000,0.0,419,456.0,17.0,1.7578723076923075,3.9782586230769232,Georgia
2001,0.0,4508,1650.0,361.0,1.2487777115384615,4.386911594230769,Georgia
2002,0.0,2753,126.0,4169.0,1.296634423076923,6.884425865384615,Georgia
2003,0.0,3822,2239.0,7345.0,1.9050694528301888,10.978168037735848,Georgia
2004,0.0,557,3.0,1732.0,1.0618010576923078,2.1821551346153845,Georgia
2005,0.0,5880,25.0,6209.0,1.8301337500000001,6.731914657692308,Georgia
2006,0.0,5040,1309.0,4155.0,1.5527661923076923,7.657244288461538,Georgia
2007,0.0,4880,3698.0,2532.0,1.5116754423076924,7.255686634615385,Georgia
2008,0.0,12284,2485.0,6925.0,1.6613001886792453,7.3487879018867925,Georgia
2009,0.0,11205,7931.0,4820.0,2.8544359615384614,22.829028846153847,Georgia
2010,0.0,3587,3.0,3670.0,1.4181392307692309,4.43762,Georgia
2011,0.0,11440,0.0,15299.0,1.684833173076923,8.111643942307692,Georgia
2012,0.0,10609,0.0,26626.0,1.6803308269230768,13.094145769230769,Georgia
2013,0.0,18391,0.0,20439.0,1.8015218653846152,11.124081153846154,Georgia
2014,0.0,11228,0.0,30913.0,1.9159501132075472,11.97702358490566,Georgia
2015,1830.0,20028,0.0,26708.0,1.7189015769230769,6.124411923076924,Georgia
2016,56710.0,24566,0.0,0.0,1.688771480769231,6.380545403846154,Georgia
2017,117405.0,45625,0.0,0.0,2.114489826923077,9.078227115384616,Georgia
2018,147794.0,72590,0.0,0.0,2.3576730961538463,8.471558846153846,Georgia
2019,166191.0,48951,0.0,0.0,2.397888403846154,9.634965,Georgia
2020,117763.0,78854,0.0,0.0,2.4279453773584905,5.750905867924528,Georgia
2021,29469.0,1517,0.0,0.0,1.6943894807692308,0.609581998076923,Georgia
2022,424433.0,3827,0.0,0.0,2.8839148076923076,6.7702420192307695,Georgia
2023,124683.0,30887,0.0,0.0,2.4597671153846155,2.7413008076923076,Georgia
2024,217319.0,88821,0.0,0.0,2.7416696153846156,5.540835423076923,Georgia
2025,350577.0,29567,0.0,0.0,5.773715,21.882458333333332,Georgia
2000,0.0,419,456.0,17.0,1.7578723076923075,3.9782586230769232,Hawaii
2001,0.0,4508,1650.0,361.0,1.2487777115384615,4.386911594230769,Hawaii
2002,0.0,2753,126.0,4169.0,1.296634423076923,6.884425865384615,Hawaii
2003,0.0,3822,2239.0,7345.0,1.9050694528301888,10.978168037735848,Hawaii
2004,0.0,557,3.0,1732.0,1.0618010576923078,2.1821551346153845,Hawaii
2005,0.0,5880,25.0,6209.0,1.8301337500000001,6.731914657692308,Hawaii
2006,0.0,5040,1309.0,4155.0,1.5527661923076923,7.657244288461538,Hawaii
2007,0.0,4880,3698.0,2532.0,1.5116754423076924,7.255686634615385,Hawaii
2008,0.0,12284,2485.0,6925.0,1.6613001886792453,7.3487879018867925,Hawaii
2009,0.0,11205,7931.0,4820.0,2.8544359615384614,22.829028846153847,Hawaii
2010,0.0,3587,3.0,3670.0,1.4181392307692309,4.43762,Hawaii
2011,0.0,11440,0.0,15299.0,1.684833173076923,8.111643942307692,Hawaii
2012,0.0,10609,0.0,26626.0,1.6803308269230768,13.094145769230769,Hawaii
2013,0.0,18391,0.0,20439.0,1.8015218653846152,11.124081153846154,Hawaii
2014,0.0,11228,0.0,30913.0,1.9159501132075472,11.97702358490566,Hawaii
2015,1830.0,20028,0.0,26708.0,1.7189015769230769,6.124411923076924,Hawaii
2016,56710.0,24566,0.0,0.0,1.688771480769231,6.380545403846154,Hawaii
2017,117405.0,45625,0.0,0.0,2.114489826923077,9.078227115384616,Hawaii
2018,147794.0,72590,0.0,0.0,2.3576730961538463,8.471558846153846,Hawaii
2019,166191.0,48951,0.0,0.0,2.397888403846154,9.634965,Hawaii
2020,117763.0,78854,0.0,0.0,2.4279453773584905,5.750905867924528,Hawaii
2021,29469.0,1517,0.0,0.0,1.6943894807692308,0.609581998076923,Hawaii
2022,424433.0,3827,0.0,0.0,2.8839148076923076,6.7702420192307695,Hawaii
2023,124683.0,30887,0.0,0.0,2.4597671153846155,2.7413008076923076,Hawaii
2024,217319.0,88821,0.0,0.0,2.7416696153846156,5.540835423076923,Hawaii
2025,350577.0,29567,0.0,0.0,5.773715,21.882458333333332,Hawaii
2000,0.0,419,456.0,17.0,1.7578723076923075,3.9782586230769232,Idaho
2001,0.0,4508,1650.0,361.0,1.2487777115384615,4.386911594230769,Idaho
2002,0.0,2753,126.0,4169.0,1.296634423076923,6.884425865384615,Idaho
